Species common name,nest_height,scientific_name,common_name
Atlantic Woodcreeper,NA,Xiphorhynchus atlanticus,Atlantic Woodcreeper
Atlantic Yellow-nosed Albatross,0,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross
Atoll Fruit-dove,NA,Ptilinopus coralensis,Atoll Fruit-dove
Atoll Starling,10,Aplonis feadensis,Atoll Starling
Auckland Merganser,NA,Mergus australis,Auckland Merganser
Auckland Rail,0.20500000000000002,Lewinia muelleri,Auckland Rail
Auckland Shag,NA,Phalacrocorax colensoi,Auckland Shag
Auckland Snipe,0,Coenocorypha aucklandica,Auckland Snipe
Auckland Teal,0,Anas aucklandica,Auckland Teal
Audouin's Gull,0,Larus audouinii,Audouin's Gull
Audubon's Oriole,11.5,Icterus graduacauda,Audubon's Oriole
Audubon's Shearwater,NA,Puffinus lherminieri,Audubon's Shearwater
Audubon's Warbler,NA,Setophaga auduboni,Audubon's Warbler
Augur Buzzard,14.5,Buteo augur,Augur Buzzard
Austen's Brown Hornbill,14,Anorrhinus austeni,Austen's Brown Hornbill
Austral Blackbird,3,Curaeus curaeus,Austral Blackbird
Austral Canastero,NA,Asthenes anthoides,Austral Canastero
Austral Negrito,NA,Lessonia rufa,Austral Negrito
Austral Parakeet,NA,Enicognathus ferrugineus,Austral Parakeet
Austral Pygmy-owl,11.3,Glaucidium nana,Austral Pygmy-owl
Austral Rail,NA,Rallus antarcticus,Austral Rail
Austral Thrush,NA,Turdus falcklandii,Austral Thrush
Australasian Bittern,0.315,Botaurus poiciloptilus,Australasian Bittern
Australasian Darter,3,Anhinga novaehollandiae,Australasian Darter
Australasian Figbird,NA,Sphecotheres vieilloti,Australasian Figbird
Australasian Gannet,0,Morus serrator,Australasian Gannet
Australasian Grebe,0,Tachybaptus novaehollandiae,Australasian Grebe
Australasian Pipit,0,Anthus novaeseelandiae,Australasian Pipit
Australasian Reed-warbler,1.3,Acrocephalus australis,Australasian Reed-warbler
Australian Brush-turkey,0,Alectura lathami,Australian Brush-turkey
Australian Bustard,0,Ardeotis australis,Australian Bustard
Australian Crake,0.25,Porzana fluminea,Australian Crake
Australian Gull-billed Tern,NA,Gelochelidon macrotarsa,Australian Gull-billed Tern
Australian Hobby,NA,Falco longipennis,Australian Hobby
Australian Ibis,NA,Threskiornis moluccus,Australian Ibis
Australian King-parrot,NA,Alisterus scapularis,Australian King-parrot
Australian Little Bittern,0.9299999999999999,Ixobrychus dubius,Australian Little Bittern
Australian Logrunner,0.6,Orthonyx temminckii,Australian Logrunner
Australian Magpie,12,Gymnorhina tibicen,Australian Magpie
Australian Masked-owl,24.5,Tyto novaehollandiae,Australian Masked-owl
Australian Owlet-nightjar,10,Aegotheles cristatus,Australian Owlet-nightjar
Australian Painted-snipe,0,Rostratula australis,Australian Painted-snipe
Australian Pelican,NA,Pelecanus conspicillatus,Australian Pelican
Australian Pratincole,0,Stiltia isabella,Australian Pratincole
Australian Raven,24,Corvus coronoides,Australian Raven
Australian Ringneck,NA,Barnardius zonarius,Australian Ringneck
Australian Shelduck,NA,Tadorna tadornoides,Australian Shelduck
Australian Shoveler,0,Spatula rhynchotis,Australian Shoveler
Australian Swiftlet,12,Aerodramus terraereginae,Australian Swiftlet
Australian Yellow White-eye,6.8,Zosterops luteus,Australian Yellow White-eye
Australian Zebra Finch,NA,Taeniopygia castanotis,Australian Zebra Finch
Ayacucho Thistletail,NA,Asthenes ayacuchensis,Ayacucho Thistletail
Ayres's Hawk-eagle,25,Hieraaetus ayresii,Ayres's Hawk-eagle
Azara's Spinetail,NA,Synallaxis azarae,Azara's Spinetail
Azores Bullfinch,NA,Pyrrhula murina,Azores Bullfinch
Aztec Parakeet,NA,Eupsittula astec,Aztec Parakeet
Aztec Thrush,15,Ridgwayia pinicola,Aztec Thrush
Azuero Parakeet,NA,Pyrrhura eisenmanni,Azuero Parakeet
Azure Dollarbird,NA,Eurystomus azureus,Azure Dollarbird
Azure Gallinule,NA,Porphyrio flavirostris,Azure Gallinule
Azure Jay,20,Cyanocorax coeruleus,Azure Jay
Azure Kingfisher,NA,Ceyx azureus,Azure Kingfisher
Azure Tit,4,Cyanistes cyanus,Azure Tit
Azure-breasted Pitta,NA,Pitta steerii,Azure-breasted Pitta
Azure-crested Flycatcher,NA,Myiagra azureocapilla,Azure-crested Flycatcher
Azure-crowned Hummingbird,8.85,Amazilia cyanocephala,Azure-crowned Hummingbird
Azure-hooded Jay,7.5,Cyanolyca cucullata,Azure-hooded Jay
Azure-naped Jay,NA,Cyanocorax heilprini,Azure-naped Jay
Azure-rumped Tanager,24.375,Tangara cabanisi,Azure-rumped Tanager
Azure-shouldered Tanager,NA,Tangara cyanoptera,Azure-shouldered Tanager
Babbling Starling,NA,Neocichla gutturalis,Babbling Starling
Bacan Myzomela,NA,Myzomela batjanensis,Bacan Myzomela
Bachman's Sparrow,0.01,Peucaea aestivalis,Bachman's Sparrow
Bachman's Warbler,0.8999999999999999,Vermivora bachmanii,Bachman's Warbler
Baer's Pochard,0,Aythya baeri,Baer's Pochard
Baglafecht Weaver,6.8,Ploceus baglafecht,Baglafecht Weaver
Bagobo Babbler,NA,Leonardina woodi,Bagobo Babbler
Bahama Lizard-cuckoo,NA,Coccyzus bahamensis,Bahama Lizard-cuckoo
Bahama Mockingbird,2.25,Mimus gundlachii,Bahama Mockingbird
Bahama Nuthatch,NA,Sitta insularis,Bahama Nuthatch
Bahama Oriole,8.25,Icterus northropi,Bahama Oriole
Bahama Swallow,NA,Tachycineta cyaneoviridis,Bahama Swallow
Bahama Warbler,NA,Setophaga flavescens,Bahama Warbler
Bahama Woodstar,4.5,Calliphlox evelynae,Bahama Woodstar
Bahama Yellowthroat,NA,Geothlypis rostrata,Bahama Yellowthroat
Bahia Antwren,NA,Herpsilochmus pileatus,Bahia Antwren
Bahia Spinetail,NA,Synallaxis cinerea,Bahia Spinetail
Bahia Tapaculo,NA,Eleoscytalopus psychopompus,Bahia Tapaculo
Bahia Tyrannulet,NA,Phylloscartes beckeri,Bahia Tyrannulet
Bahia Wagtail-tyrant,1.45,Stigmatura bahiae,Bahia Wagtail-tyrant
Bahian Nighthawk,0,Nyctiprogne vielliardi,Bahian Nighthawk
Baikal Grasshopper-warbler,NA,Locustella davidi,Baikal Grasshopper-warbler
Baikal Teal,0,Sibirionetta formosa,Baikal Teal
Baillon's Crake,0.33999999999999997,Zapornia pusilla,Baillon's Crake
Baird's Flycatcher,15,Myiodynastes bairdii,Baird's Flycatcher
Baird's Junco,NA,Junco bairdi,Baird's Junco
Baird's Sandpiper,0,Calidris bairdii,Baird's Sandpiper
Baird's Sparrow,0,Passerculus bairdii,Baird's Sparrow
Baird's Trogon,9.5,Trogon bairdii,Baird's Trogon
Baird's Yellowthroat,NA,Geothlypis bairdi,Baird's Yellowthroat
Baja Pygmy-owl,NA,Glaucidium hoskinsii,Baja Pygmy-owl
Bald Eagle,13.5,Haliaeetus leucocephalus,Bald Eagle
Bald Parrot,NA,Pyrilia aurantiocephala,Bald Parrot
Balearic Shearwater,NA,Puffinus mauretanicus,Balearic Shearwater
Balearic Warbler,0.925,Sylvia balearica,Balearic Warbler
Bali Myna,9,Leucopsar rothschildi,Bali Myna
Balicassiao,13.5,Dicrurus balicassius,Balicassiao
Balsas Screech-owl,NA,Megascops seductus,Balsas Screech-owl
Baltimore Oriole,16.225,Icterus galbula,Baltimore Oriole
Bamboo Antshrike,NA,Cymbilaimus sanctaemariae,Bamboo Antshrike
Bamboo Warbler,NA,Bradypterus alfredi,Bamboo Warbler
Bamboo Woodpecker,NA,Gecinulus viridis,Bamboo Woodpecker
Bamenda Apalis,NA,Apalis bamendae,Bamenda Apalis
Bananal Antbird,NA,Cercomacra ferdinandi,Bananal Antbird
Bananaquit,9,Coereba flaveola,Bananaquit
Banasura Laughingthrush,NA,Trochalopteron jerdoni,Banasura Laughingthrush
Band-backed Wren,17,Campylorhynchus zonatus,Band-backed Wren
Band-bellied Crake,0,Zapornia paykullii,Band-bellied Crake
Band-bellied Owl,NA,Pulsatrix melanota,Band-bellied Owl
Band-rumped Storm-petrel,NA,Hydrobates castro,Band-rumped Storm-petrel
Band-rumped Swift,NA,Chaetura spinicaudus,Band-rumped Swift
Band-tailed Antbird,NA,Hypocnemoides maculicauda,Band-tailed Antbird
Band-tailed Antshrike,NA,Thamnophilus melanothorax,Band-tailed Antshrike
Band-tailed Antwren,NA,Myrmotherula urosticta,Band-tailed Antwren
Band-tailed Barbthroat,NA,Threnetes ruckeri,Band-tailed Barbthroat
Band-tailed Earthcreeper,2,Ochetorhynchus phoenicurus,Band-tailed Earthcreeper
Band-tailed Fruiteater,NA,Pipreola intermedia,Band-tailed Fruiteater
Band-tailed Guan,5,Penelope argyrotis,Band-tailed Guan
Band-tailed Manakin,3.5,Pipra fasciicauda,Band-tailed Manakin
Band-tailed Nighthawk,NA,Nyctiprogne leucopyga,Band-tailed Nighthawk
Band-tailed Oropendola,25.5,Cacicus latirostris,Band-tailed Oropendola
Band-tailed Seedeater,NA,Catamenia analis,Band-tailed Seedeater
Band-tailed Sierra-finch,0,Corydospiza alaudina,Band-tailed Sierra-finch
Banda Fantail,NA,Rhipidura hoedti,Banda Fantail
Banda Myzomela,NA,Myzomela boiei,Banda Myzomela
Banda Sea Whistler,NA,Pachycephala par,Banda Sea Whistler
Banded Antbird,0.15000000000000002,Dichrozona cincta,Banded Antbird
Banded Barbet,NA,Lybius undatus,Banded Barbet
Banded Bay Cuckoo,NA,Cacomantis sonneratii,Banded Bay Cuckoo
Banded Broadbill,13,Eurylaimus harterti,Banded Broadbill
Banded Cotinga,NA,Cotinga maculata,Banded Cotinga
Banded Ground-cuckoo,7.5,Neomorphus radiolosus,Banded Ground-cuckoo
Banded Honeyeater,3.0500000000000003,Cissomela pectoralis,Banded Honeyeater
Banded Kestrel,NA,Falco zoniventris,Banded Kestrel
Banded Kingfisher,NA,Lacedo pulchella,Banded Kingfisher
Banded Lapwing,0,Vanellus tricolor,Banded Lapwing
Banded Martin,NA,Neophedina cincta,Banded Martin
Banded Prinia,1.25,Prinia bairdii,Banded Prinia
Banded Quail,NA,Philortyx fasciatus,Banded Quail
Banded Stilt,0,Cladorhynchus leucocephalus,Banded Stilt
Banded Sunbird,NA,Anthreptes rubritorques,Banded Sunbird
Banded Warbler,2.5,Sylvia boehmi,Banded Warbler
Banded Wattle-eye,3.4,Platysteira laticincta,Banded Wattle-eye
Banded Whiteface,NA,Aphelocephala nigricincta,Banded Whiteface
Banded Woodpecker,18,Chrysophlegma miniaceum,Banded Woodpecker
Banded Wren,9.75,Thryophilus pleurostictus,Banded Wren
Banded Yellow Robin,1.8,Gennaeodryas placens,Banded Yellow Robin
Banggai Crow,NA,Corvus unicolor,Banggai Crow
Banggai Fruit-dove,NA,Ramphiculus subgularis,Banggai Fruit-dove
Banggai Golden Bulbul,NA,Thapsinillas harterti,Banggai Golden Bulbul
Banggai Scops-owl,NA,Otus mendeni,Banggai Scops-owl
Bangwa Forest-warbler,NA,Bradypterus bangwaensis,Bangwa Forest-warbler
Bank Cormorant,NA,Phalacrocorax neglectus,Bank Cormorant
Bank Myna,NA,Acridotheres ginginianus,Bank Myna
Bannerman's Shearwater,NA,Puffinus bannermani,Bannerman's Shearwater
Bannerman's Sunbird,1.7999999999999998,Cyanomitra bannermani,Bannerman's Sunbird
Bannerman's Turaco,6.5,Tauraco bannermani,Bannerman's Turaco
Bannerman's Weaver,3.5,Ploceus bannermani,Bannerman's Weaver
Bar-backed Partridge,0,Arborophila brunneopectus,Bar-backed Partridge
Bar-bellied Cuckoo-shrike,NA,Coracina striata,Bar-bellied Cuckoo-shrike
Bar-bellied Pitta,NA,Hydrornis elliotii,Bar-bellied Pitta
Bar-bellied Woodcreeper,NA,Hylexetastes stresemanni,Bar-bellied Woodcreeper
Bar-bellied Woodpecker,NA,Veniliornis nigriceps,Bar-bellied Woodpecker
Bar-breasted Firefinch,2,Lagonosticta rufopicta,Bar-breasted Firefinch
Bar-breasted Honeyeater,3.8,Ramsayornis fasciatus,Bar-breasted Honeyeater
Bar-breasted Piculet,NA,Picumnus aurifrons,Bar-breasted Piculet
Bar-crested Antshrike,NA,Thamnophilus multistriatus,Bar-crested Antshrike
Bar-headed Goose,NA,Anser indicus,Bar-headed Goose
Bar-shouldered Dove,NA,Geopelia humeralis,Bar-shouldered Dove
Bar-tailed Godwit,0,Limosa lapponica,Bar-tailed Godwit
Bar-tailed Lark,0,Ammomanes cinctura,Bar-tailed Lark
Bar-tailed Treecreeper,NA,Certhia himalayana,Bar-tailed Treecreeper
Bar-tailed Trogon,2,Apaloderma vittatum,Bar-tailed Trogon
Bar-throated Apalis,1.6,Apalis thoracica,Bar-throated Apalis
Bar-throated Minla,3,Chrysominla strigula,Bar-throated Minla
Bar-winged Flycatcher-shrike,9,Hemipus picatus,Bar-winged Flycatcher-shrike
Bar-winged Oriole,NA,Icterus maculialatus,Bar-winged Oriole
Bar-winged Prinia,NA,Prinia familiaris,Bar-winged Prinia
Bar-winged Rail,NA,Hypotaenidia poeciloptera,Bar-winged Rail
Bar-winged Weaver,15,Ploceus angolensis,Bar-winged Weaver
Bar-winged Wood-wren,NA,Henicorhina leucoptera,Bar-winged Wood-wren
Bar-winged Wren-babbler,NA,Spelaeornis troglodytoides,Bar-winged Wren-babbler
Barau's Petrel,NA,Pterodroma baraui,Barau's Petrel
Barbados Bullfinch,NA,Loxigilla barbadensis,Barbados Bullfinch
Barbary Partridge,0,Alectoris barbara,Barbary Partridge
Barbuda Warbler,NA,Setophaga subita,Barbuda Warbler
Bare-cheeked Babbler,NA,Turdoides gymnogenys,Bare-cheeked Babbler
Bare-cheeked Trogon,6,Apaloderma aequatoriale,Bare-cheeked Trogon
Bare-crowned Antbird,0.9824999999999999,Gymnocichla nudiceps,Bare-crowned Antbird
Bare-eyed Antbird,NA,Rhegmatorhina gymnops,Bare-eyed Antbird
Bare-eyed Myna,NA,Streptocitta albertinae,Bare-eyed Myna
Bare-eyed Pigeon,NA,Patagioenas corensis,Bare-eyed Pigeon
Bare-eyed Rail,0,Gymnocrex plumbeiventris,Bare-eyed Rail
Bare-eyed Thrush,NA,Turdus tephronotus,Bare-eyed Thrush
Bare-eyed White-eye,35,Zosterops superciliosus,Bare-eyed White-eye
Bare-faced Bulbul,NA,Pycnonotus hualon,Bare-faced Bulbul
Bare-faced Curassow,6,Crax fasciolata,Bare-faced Curassow
Bare-faced Curassow,6,Crax alector,Bare-faced Curassow
Bare-faced Ground-dove,NA,Metriopelia ceciliae,Bare-faced Ground-dove
Bare-faced Ibis,NA,Phimosus infuscatus,Bare-faced Ibis
Bare-headed Laughingthrush,NA,Garrulax calvus,Bare-headed Laughingthrush
Bare-legged Screech-owl,NA,Margarobyas lawrencii,Bare-legged Screech-owl
Bare-legged Swiftlet,NA,Aerodramus nuditarsus,Bare-legged Swiftlet
Bare-necked Fruitcrow,26,Gymnoderus foetidus,Bare-necked Fruitcrow
Bare-necked Umbrellabird,7.5,Cephalopterus glabricollis,Bare-necked Umbrellabird
Bare-shanked Screech-owl,4.949999999999999,Megascops clarkii,Bare-shanked Screech-owl
Bare-throated Bellbird,26,Procnias nudicollis,Bare-throated Bellbird
Bare-throated Tiger-heron,29,Tigrisoma mexicanum,Bare-throated Tiger-heron
Bare-throated Whistler,NA,Pachycephala nudigula,Bare-throated Whistler
Barka Indigobird,NA,Vidua larvaticola,Barka Indigobird
Barking Imperial-pigeon,NA,Ducula latrans,Barking Imperial-pigeon
Barking Owl,9.5,Ninox connivens,Barking Owl
Barn Swallow,9.9,Hirundo rustica,Barn Swallow
Barnacle Goose,NA,Branta leucopsis,Barnacle Goose
Baron's Spinetail,NA,Cranioleuca baroni,Baron's Spinetail
Barratt's Warbler,NA,Bradypterus barratti,Barratt's Warbler
Barred Antshrike,5.75,Thamnophilus doliatus,Barred Antshrike
Barred Antthrush,NA,Chamaeza mollissima,Barred Antthrush
Barred Becard,15.75,Pachyramphus versicolor,Barred Becard
Barred Buttonquail,0,Turnix suscitator,Barred Buttonquail
Barred Cuckoo-dove,6,Macropygia unchall,Barred Cuckoo-dove
Barred Cuckoo-shrike,NA,Coracina lineata,Barred Cuckoo-shrike
Barred Dove,NA,Geopelia maugeus,Barred Dove
Barred Eagle-owl,NA,Bubo sumatranus,Barred Eagle-owl
Barred Forest-falcon,25,Micrastur ruficollis,Barred Forest-falcon
Barred Fruiteater,NA,Pipreola arcuata,Barred Fruiteater
Barred Hawk,NA,Morphnarchus princeps,Barred Hawk
Barred Honeyeater,1.1,Gliciphila undulata,Barred Honeyeater
Barred Laughingthrush,NA,Garrulax lunulatus,Barred Laughingthrush
Barred Long-tailed Cuckoo,NA,Cercococcyx montanus,Barred Long-tailed Cuckoo
Barred Owl,13.5,Strix varia,Barred Owl
Barred Owlet-nightjar,NA,Aegotheles bennettii,Barred Owlet-nightjar
Barred Parakeet,NA,Bolborhynchus lineola,Barred Parakeet
Barred Puffbird,1.0499999999999998,Nystalus radiatus,Barred Puffbird
Barred Rail,0,Hypotaenidia torquata,Barred Rail
Barred Tinamou,NA,Crypturellus casiquiare,Barred Tinamou
Barred Warbler,1.3,Sylvia nisoria,Barred Warbler
Barred Wren-warbler,4.5,Calamonastes fasciolatus,Barred Wren-warbler
Barrow's Goldeneye,7.75,Bucephala islandica,Barrow's Goldeneye
Bartlett's Tinamou,NA,Crypturellus bartletti,Bartlett's Tinamou
Basra Reed-warbler,NA,Acrocephalus griseldis,Basra Reed-warbler
Bassian Thrush,14.5,Zoothera lunulata,Bassian Thrush
Bat Falcon,NA,Falco rufigularis,Bat Falcon
Bat Hawk,40,Macheiramphus alcinus,Bat Hawk
Bateleur,20,Terathopius ecaudatus,Bateleur
Bates's Nightjar,0,Caprimulgus batesi,Bates's Nightjar
Bates's Paradise-flycatcher,11.5,Terpsiphone batesi,Bates's Paradise-flycatcher
Bates's Sunbird,3.5,Cinnyris batesi,Bates's Sunbird
Bates's Swift,NA,Apus batesi,Bates's Swift
Bates's Weaver,NA,Ploceus batesi,Bates's Weaver
Baudo Guan,NA,Penelope ortoni,Baudo Guan
Baudo Oropendola,NA,Psarocolius cassini,Baudo Oropendola
Baumann's Greenbul,NA,Phyllastrephus baumanni,Baumann's Greenbul
Bay Antpitta,NA,Grallaria capitalis,Bay Antpitta
Bay Coucal,NA,Centropus celebensis,Bay Coucal
Bay Woodpecker,3,Blythipicus pyrrhotis,Bay Woodpecker
Bay Wren,4,Cantorchilus nigricapillus,Bay Wren
Bay-backed Shrike,5.9,Lanius vittatus,Bay-backed Shrike
Bay-breasted Cuckoo,NA,Coccyzus rufigularis,Bay-breasted Cuckoo
Bay-breasted Warbler,6.4,Setophaga castanea,Bay-breasted Warbler
Bay-capped Wren-spinetail,NA,Spartonoica maluroides,Bay-capped Wren-spinetail
Bay-chested Warbling-finch,NA,Castanozoster thoracicus,Bay-chested Warbling-finch
Bay-crowned Brush-finch,NA,Atlapetes seebohmi,Bay-crowned Brush-finch
Bay-headed Tanager,6.1,Tangara gyrola,Bay-headed Tanager
Bay-ringed Tyrannulet,18,Phylloscartes sylviolus,Bay-ringed Tyrannulet
Bay-vented Cotinga,6,Doliornis sclateri,Bay-vented Cotinga
Baya Weaver,17,Ploceus philippinus,Baya Weaver
Beach Kingfisher,5.5,Todiramphus saurophagus,Beach Kingfisher
Beach Thick-knee,0,Esacus magnirostris,Beach Thick-knee
Bean Goose,0,Anser fabalis,Bean Goose
Bearded Barbet,NA,Pogonornis dubius,Bearded Barbet
Bearded Bellbird,10.2,Procnias averano,Bearded Bellbird
Bearded Guan,NA,Penelope barbata,Bearded Guan
Bearded Reedling,0.41,Panurus biarmicus,Bearded Reedling
Bearded Screech-owl,3.6750000000000003,Megascops barbarus,Bearded Screech-owl
Bearded Scrub-robin,1.65,Tychaedon quadrivirgata,Bearded Scrub-robin
Bearded Tachuri,NA,Polystictus pectoralis,Bearded Tachuri
Bearded Vulture,NA,Gypaetus barbatus,Bearded Vulture
Bearded Wood-partridge,0.175,Dendrortyx barbatus,Bearded Wood-partridge
Bearded Woodpecker,12,Dendropicos namaquus,Bearded Woodpecker
Beaudouin's Snake-eagle,18.5,Circaetus beaudouini,Beaudouin's Snake-eagle
Beautiful Firetail,5.5,Stagonopleura bella,Beautiful Firetail
Beautiful Fruit-dove,NA,Ptilinopus pulchellus,Beautiful Fruit-dove
Beautiful Hummingbird,3.675,Calothorax pulcher,Beautiful Hummingbird
Beautiful Jay,3.75,Cyanolyca pulchra,Beautiful Jay
Beautiful Nuthatch,6,Sitta formosa,Beautiful Nuthatch
Beautiful Rosefinch,NA,Carpodacus pulcherrimus,Beautiful Rosefinch
Beautiful Sibia,NA,Heterophasia pulchella,Beautiful Sibia
Beautiful Sunbird,4,Cinnyris pulchellus,Beautiful Sunbird
Beautiful Treerunner,NA,Margarornis bellulus,Beautiful Treerunner
Beautiful Woodpecker,NA,Melanerpes pulcher,Beautiful Woodpecker
Beck's Petrel,NA,Pseudobulweria becki,Beck's Petrel
Bedford's Paradise-flycatcher,NA,Terpsiphone bedfordi,Bedford's Paradise-flycatcher
Bee Hummingbird,5.5,Mellisuga helenae,Bee Hummingbird
Beijing Hill-warbler,NA,Rhopophilus pekinensis,Beijing Hill-warbler
Belcher's Gull,0,Larus belcheri,Belcher's Gull
Belding's Sparrow,0.075,Passerculus guttatus,Belding's Sparrow
Belding's Yellowthroat,2.25,Geothlypis beldingi,Belding's Yellowthroat
Belem Curassow,NA,Crax pinima,Belem Curassow
Belford's Honeyeater,22,Melidectes belfordi,Belford's Honeyeater
Bell Miner,12.8,Manorina melanophrys,Bell Miner
Bell's Sparrow,0.2425,Artemisiospiza belli,Bell's Sparrow
Bell's Vireo,3.45,Vireo bellii,Bell's Vireo
Belted Flycatcher,1.75,Xenotriccus callizonus,Belted Flycatcher
Belted Kingfisher,NA,Megaceryle alcyon,Belted Kingfisher
Bendire's Thrasher,2.475,Toxostoma bendirei,Bendire's Thrasher
Bengal Bushlark,0,Mirafra assamica,Bengal Bushlark
Bengal Florican,0,Houbaropsis bengalensis,Bengal Florican
Benguela Long-tailed Starling,NA,Lamprotornis benguelensis,Benguela Long-tailed Starling
Benguet Grasshopper-warbler,NA,Locustella seebohmi,Benguet Grasshopper-warbler
Bennett's Woodpecker,7,Campethera bennettii,Bennett's Woodpecker
Berlepsch's Canastero,NA,Asthenes berlepschi,Berlepsch's Canastero
Berlepsch's Tinamou,NA,Crypturellus berlepschi,Berlepsch's Tinamou
Bermuda Flicker,NA,Colaptes oceanicus,Bermuda Flicker
Bermuda Hawk,NA,Bermuteo avivorus,Bermuda Hawk
Bermuda Night-heron,NA,Nyctanassa carcinocatactes,Bermuda Night-heron
Bermuda Petrel,NA,Pterodroma cahow,Bermuda Petrel
Bermuda Saw-whet Owl,NA,Aegolius gradyi,Bermuda Saw-whet Owl
Bermuda Towhee,NA,Pipilo naufragus,Bermuda Towhee
Bernier's Vanga,18,Oriolia bernieri,Bernier's Vanga
Berthelot's Pipit,0,Anthus berthelotii,Berthelot's Pipit
Bertoni's Antbird,NA,Drymophila rubricollis,Bertoni's Antbird
Bertram's Weaver,NA,Ploceus bertrandi,Bertram's Weaver
Beryl-spangled Tanager,9.75,Tangara nigroviridis,Beryl-spangled Tanager
Berylline Hummingbird,2.25,Amazilia beryllina,Berylline Hummingbird
Besra,22.5,Accipiter virgatus,Besra
Bewick's Wren,5,Thryomanes bewickii,Bewick's Wren
Bhutan Laughingthrush,NA,Trochalopteron imbricatum,Bhutan Laughingthrush
